Fecha,Estrategia,Rendimiento,Riesgo
2000-05-31,CTA Global,1.14,Alto
2000-05-31,Distressed Securities,-1.32,Alto
2000-05-31,Emerging Markets,-4.33,Alto
2000-05-31,Equity Market Neutral,0.62,Bajo
2000-05-31,Event Driven,-0.34,Medio
2000-05-31,Fixed Income Arbitrage,1.07,Bajo
2000-05-31,Global Macro,-0.7,Alto
2000-05-31,Long/Short Equity,-0.97,Medio
2000-05-31,Merger Arbitrage,1.46,Medio
2000-05-31,Relative Value,0.8,Bajo
2000-05-31,Short Selling,7.04,Alto
2000-05-31,Funds Of Funds,-1.22,Medio
2000-06-30,Convertible Arbitrage,1.79,Medio
2000-06-30,CTA Global,-1.24,Alto
2000-06-30,Distressed Securities,2.03,Alto
2000-06-30,Emerging Markets,3.34,Alto
2000-06-30,Equity Market Neutral,1.71,Bajo
2000-06-30,Event Driven,2.68,Medio
2000-06-30,Fixed Income Arbitrage,0.58,Bajo
2000-06-30,Global Macro,1.54,Alto
2000-06-30,Long/Short Equity,3.49,Medio
2000-06-30,Merger Arbitrage,1.67,Medio
2000-06-30,Relative Value,1.76,Bajo
2000-06-30,Short Selling,-11.07,Alto
2000-06-30,Funds Of Funds,3.11,Medio
2000-07-31,Convertible Arbitrage,0.93,Medio
2000-07-31,CTA Global,-1.31,Alto
2000-07-31,Distressed Securities,0.64,Alto
2000-07-31,Emerging Markets,0.25,Alto
2000-07-31,Equity Market Neutral,0.63,Bajo
2000-07-31,Event Driven,0.57,Medio
2000-07-31,Fixed Income Arbitrage,0.18,Bajo
2000-07-31,Global Macro,0.37,Alto
2000-07-31,Long/Short Equity,0.06,Medio
2000-07-31,Merger Arbitrage,1.16,Medio
2000-07-31,Relative Value,0.84,Bajo
2000-07-31,Short Selling,5.53,Alto
2000-07-31,Funds Of Funds,-0.22,Medio
2000-08-31,Convertible Arbitrage,1.62,Medio
2000-08-31,CTA Global,1.89,Alto
2000-08-31,Distressed Securities,1.4,Alto
2000-08-31,Emerging Markets,3.68,Alto
2000-08-31,Equity Market Neutral,2.1,Bajo
2000-08-31,Event Driven,1.73,Medio
2000-08-31,Fixed Income Arbitrage,1.07,Bajo
2000-08-31,Global Macro,2.48,Alto
2000-08-31,Long/Short Equity,3.45,Medio
2000-08-31,Merger Arbitrage,1.57,Medio
2000-08-31,Relative Value,1.57,Bajo
2000-08-31,Short Selling,-11.35,Alto
2000-08-31,Funds Of Funds,2.67,Medio
2000-09-30,Convertible Arbitrage,1.41,Medio
2000-09-30,CTA Global,-2.08,Alto
2000-09-30,Distressed Securities,-0.19,Alto
2000-09-30,Emerging Markets,-4.62,Alto
2000-09-30,Equity Market Neutral,0.58,Bajo
2000-09-30,Event Driven,0.48,Medio
2000-09-30,Fixed Income Arbitrage,0.76,Bajo
2000-09-30,Global Macro,-1.49,Alto
2000-09-30,Long/Short Equity,-0.16,Medio
2000-09-30,Merger Arbitrage,1.37,Medio
2000-09-30,Relative Value,0.75,Bajo
2000-09-30,Short Selling,12.04,Alto
2000-09-30,Funds Of Funds,-0.69,Medio
2000-10-31,Convertible Arbitrage,0.52,Medio
2000-10-31,CTA Global,0.75,Alto
